parent_model,dataset,numshot,student_model,mean_auc,mean_complexity
tabllm,diabetes,32,xgboost,0.7516,4647.8
tabllm,diabetes,32,logistic_rule_regression,0.7533,40.0
tabllm,diabetes,32,logistic_regression,0.7912,16.0
tabllm,diabetes,32,decision_tree,0.7092,257.0
tabllm,diabetes,256,ttnet,0.7701,220.2
tabllm,diabetes,256,xgboost,0.828,4831.6
tabllm,diabetes,256,logistic_rule_regression,0.8032,59.0
tabllm,diabetes,256,logistic_regression,0.8098,16.0
tabllm,diabetes,256,decision_tree,0.7737,281.8
tabllm,diabetes,128,ttnet,0.7368,183.2
tabllm,diabetes,128,xgboost,0.7455,1648.6
tabllm,diabetes,128,logistic_rule_regression,0.7249,20.0
tabllm,diabetes,128,logistic_regression,0.778,16.0
tabllm,diabetes,128,decision_tree,0.7225,157.4
tabllm,covertype,64,ttnet,0.6481,633.8
tabllm,covertype,64,xgboost,0.6373,3217.2
tabllm,covertype,64,logistic_rule_regression,0.6276,94.2
tabllm,covertype,64,logistic_regression,0.6284,98.0
tabllm,covertype,64,decision_tree,0.5769,226.2
tabllm,covertype,16,ttnet,0.5802,523.2
tabllm,covertype,16,xgboost,0.5841,1107.0
tabllm,covertype,16,logistic_rule_regression,0.5678,78.0
tabllm,covertype,16,logistic_regression,0.5794,98.0
tabllm,covertype,16,decision_tree,0.5409,167.8
tabllm,covertype,4,ttnet,0.5505,401.6
tabllm,covertype,4,xgboost,0.5187,2523.2
tabllm,covertype,4,logistic_rule_regression,0.5176,7.0
tabllm,covertype,4,logistic_regression,0.558,98.0
tabllm,covertype,4,decision_tree,0.5116,36.2
tabllm,covertype,8,ttnet,0.5401,353.8
tabllm,covertype,8,xgboost,0.5275,3821.8
tabllm,covertype,8,logistic_rule_regression,0.5165,11.0
tabllm,covertype,8,logistic_regression,0.5578,98.0
tabllm,covertype,8,decision_tree,0.5123,57.8
tabllm,covertype,32,ttnet,0.6409,579.8
tabllm,covertype,32,xgboost,0.6701,2323.0
